X1,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,hours,BusinessAcceptsCreditCards,BikeParking,GoodForKids,ByAppointmentOnly,RestaurantsPriceRange2,DogsAllowed,RestaurantsTakeOut,RestaurantsReservations,RestaurantsGoodForGroups,HasTV,RestaurantsDelivery,OutdoorSeating,Caters,WheelchairAccessible,RestaurantsTableService,HappyHour,BusinessAcceptsBitcoin,BYOB,Corkage,GoodForDancing,CoatCheck,DriveThru,AgesAllowed,RestaurantsCounterService,Open24Hours,alcohol_beer_and_wine,alcohol_full_bar,alcohol_none,touristy,hipster,romantic,intimate,trendy,upscale,classy,casual,divey,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,bn_monday,bn_tuesday,bn_friday,bn_wednesday,bn_thursday,bn_sunday,bn_saturday,garage,street,validated,lot,valet,byobcorkage_no,byobcorkage_yes_corkage,byobcorkage_yes_free,dairy-free,gluten-free,vegan,kosher,halal,soy-free,vegetarian,music_dj,music_background_music,music_no_music,music_jukebox,music_live,music_video,music_karaoke,wifi_free,wifi_no,wifi_paid
3768,6pG7n8Rx_7ZXeQQk690Nsw,Fair Trade Coffee House,418 State St,Madison,WI,53703,43.0750277,-89.3919986,4,87,1,"Cafes, Sandwiches, Coffee & Tea, Restaurants, Food","{'Monday': '8:0-22:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-22:0'}",1,1,1,0,1,,1,0,1,0,1,1,0,,0,,0,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0
3832,CiNZmBtZRaRSXKjwun4R4A,Pizza Di Roma West,439 Grand Canyon Dr,Madison,WI,53719,43.058414,-89.495487,3.5,40,1,"Italian, Pizza, Restaurants, Photographers, Event Planning & Services","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0'}",1,1,1,,1,0,1,1,1,1,1,1,1,1,0,1,0,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
3860,QI-CI9wWRxtw60_aQK1BpA,KJ's Curry Bowl,7005 Tree Ln,Madison,WI,53717,43.065377399999996,-89.50304200000001,4,69,0,"Asian Fusion, Restaurants, Mexican, American (New), Sri Lankan","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0'}",1,1,1,,2,,1,1,1,0,1,0,1,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
4205,0vyh1UE4HH8ayZtXNxIfeQ,Red Shed Tavern,406 N Frances St,Madison,WI,53703,43.073569899999995,-89.396101,3,37,1,"Bars, American (Traditional), Dive Bars, Nightlife, Restaurants","{'Monday': '15:0-2:0', 'Tuesday': '15:0-2:0', 'Wednesday': '15:0-2:0', 'Thursday': '15:0-2:0', 'Friday': '15:0-2:30', 'Saturday': '12:0-2:30', 'Sunday': '20:0-2:0'}",0,1,0,,1,,0,0,1,1,0,0,0,,0,,,,,,0,,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,1,0
4281,iFlr0eG_qH-cgXFhji7gbQ,Erin's Snug Irish Pub,4601 American Pkwy,Madison,WI,53718,43.148526700000005,-89.2892703,3.5,210,1,"Breakfast & Brunch, Venues & Event Spaces, Event Planning & Services, Nightlife, Pubs, Sandwiches, Bars, Irish Pub, Irish, American (Traditional), Restaurants","{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '10:0-21:0'}",1,1,1,,2,,1,1,1,1,0,1,1,,,1,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,1,0,0
4478,ues2rFe_hbRC7s232PX5QA,Brocach,7 W Main St,Madison,WI,53703,43.073453,-89.383395,3.5,266,0,"Restaurants, Irish, Bars, Nightlife, Pubs","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-2:0', 'Saturday': '10:0-2:0', 'Sunday': '10:0-23:0'}",1,1,0,,2,,1,1,1,1,0,1,0,1,1,1,,,0,0,,,,,,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,,,,,,,,0,1,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,0,1,0,0
4504,84WYW7OfV-IXUJk95EL5_Q,Samba Brazilian Grill,"240 W Gilman St, Fl 2",Madison,WI,53703,43.07546,-89.393063,3.5,216,1,"Brazilian, Food, Restaurants","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '16:0-21:0'}",1,1,1,,3,,0,1,1,0,0,0,0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,,,,,,,,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,0,1,0
4571,AfoBKJuGBJvQhc3By4K9Dg,Kushi Bar Muramoto,106 King St,Madison,WI,53703,43.074852299999996,-89.3813541,4,29,0,"Asian Fusion, Japanese, Restaurants","{'Monday': '17:0-2:0', 'Tuesday': '17:0-2:0', 'Wednesday': '17:0-2:0', 'Thursday': '17:0-2:0', 'Friday': '17:0-2:30', 'Saturday': '17:0-2:30'}",1,,0,,3,,1,0,0,,0,1,,,,,,,,,,,,,,0,1,0,,,,,,,,,,0,1,0,0,0,,,,,,,,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,0,0,0
4629,JexI9opGP2n_Xv6IKnN0Bg,Domino's Pizza,409 W Gorham St,Madison,WI,53703,43.073518799999995,-89.3928866,2.5,25,1,"Restaurants, Pizza, Chicken Wings, Sandwiches","{'Monday': '10:30-3:0', 'Tuesday': '10:30-3:0', 'Wednesday': '10:30-3:0', 'Thursday': '10:30-3:0', 'Friday': '10:30-3:0', 'Saturday': '10:30-3:0', 'Sunday': '10:30-3:0'}",1,1,1,,1,,1,0,0,1,1,0,0,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0
4657,brIaz5gTzBX6fgJNQZbUCA,Roast Public House,558 State St,Madison,WI,53703,43.074915831999995,-89.3947126815,3.5,180,0,"Nightlife, Bars, Sandwiches, Pubs, Restaurants, Salad, Sports Bars","{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-1:0', 'Friday': '11:0-2:30', 'Saturday': '11:0-2:30', 'Sunday': '11:0-1:0'}",1,1,1,,2,,1,1,1,1,1,1,0,,1,1,,,,0,,,,,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,1,0,0
5308,nsfOIWfXpJVylXvryjEcNw,Schlotzsky's Deli,3825 E Washington Ave,Madison,WI,53704,43.119328700000004,-89.3201096,3.5,11,0,"Delis, Restaurants","{'Monday': '10:30-21:0', 'Tuesday': '10:30-21:0', 'Wednesday': '10:30-21:0', 'Thursday': '10:30-21:0', 'Friday': '10:30-21:0', 'Saturday': '10:30-21:0', 'Sunday': '10:30-20:0'}",1,,1,,1,,1,0,1,0,1,0,1,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,0,0,0
5734,DkVmX5Zzx_lvl-2Zzyz3bQ,Milio's Sandwiches,4601 Cottage Grove Rd,Madison,WI,53716,43.083844799999994,-89.30254670000001,3,4,1,"Sandwiches, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-21:0'}",1,1,,,,0,1,0,,0,1,0,1,1,0,,0,,,,,,,,,0,0,1,,,,,,,,,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
5866,khHxKm1_x6syS5W2LTX0lw,Quiznos,116 Gammon Rd,Madison,WI,53719,43.069721273,-89.50248761360001,3,3,1,"Sandwiches, Fast Food, Delis, Restaurants","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '11:0-18:0'}",,,,,2,,,,1,,1,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0
6012,HVpwpXneaCWMeEBF7H8jpQ,Taiwan Little Eats,320 State St,Madison,WI,53703,43.074953799999996,-89.3907598,4,81,1,"Bubble Tea, Taiwanese, Asian Fusion, Restaurants, Food, Chinese","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-19:0'}",1,1,1,,2,0,1,0,1,0,1,0,1,,0,,,,,,,,,,,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0
6117,OQzCZQl9BLU6d1HBxbCHCQ,Blue Agave,117 S Butler St,Madison,WI,53703,43.07561629999999,-89.37939370000001,4,98,1,"Cocktail Bars, Bars, Latin American, Nightlife, Seafood, Mexican, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-1:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-21:0'}",1,0,1,,2,0,1,1,1,1,1,1,1,0,1,1,0,,,,,0,,,,0,1,0,0,0,,,1,0,,1,0,0,1,0,0,0,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0
6217,oyoMj4yTMybdMRADjFPXiA,Athens Gyros,1614 Monroe St,Madison,WI,53711,43.067141,-89.414181,2.5,7,1,"Restaurants, Greek","{'Monday': '10:45-23:0', 'Tuesday': '10:45-23:0', 'Wednesday': '10:45-23:0', 'Thursday': '10:45-11:0', 'Friday': '10:45-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-23:0'}",1,0,,,,,,,0,,1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0
6265,wPRMHVXKndQZj2Or2mCz8A,Harmony Bar & Grill,2201 Atwood Ave,Madison,WI,53704,43.09308660000001,-89.3491752,4,61,1,"Music Venues, Arts & Entertainment, Bars, Nightlife, Beer, Wine & Spirits, Dive Bars, Food, American (Traditional), Restaurants","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:30', 'Saturday': '11:0-2:30', 'Sunday': '11:0-2:0'}",0,1,0,,2,,1,0,1,1,0,0,1,,,,0,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,,,,,,,,0,0,0,0,1,0,0,1,0,0
6316,1XZd5hbOdCSaAdx9KdWnrA,Canterbury Booksellers Inn,315 W Gorham St,Madison,WI,53703,43.0743929,-89.3918122,4.5,3,0,"Shopping, Food, Bookstores, Restaurants, Coffee & Tea, Books, Mags, Music & Video",,1,1,,,2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
6482,VMPSdoBgJuyS9t_x_caTig,Lao Laan-Xang Restaurant,1146 Williamson St,Madison,WI,53703,43.0830979,-89.36491550000001,4.5,298,1,"Restaurants, Thai, Vegetarian, Laotian","{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:30', 'Saturday': '17:0-21:30'}",1,1,1,0,2,0,1,0,1,0,1,0,1,0,1,,,,0,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,0,1,0
6503,2cetuQgbP1Bnzm-uMRlocQ,Nam's Noodle,1336 Regent St,Madison,WI,53715,43.067977500000005,-89.40845379999999,3.5,113,1,"Vietnamese, Chinese, Asian Fusion, Noodles, Restaurants, Nightlife, Karaoke, Bars","{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:30'}",1,1,1,,2,,1,1,1,1,1,0,1,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,,,,,,,,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
6681,I6iOdOeu3MxxuG6gIhzodQ,Metcalfe's Market,726 N Midvale Blvd,Madison,WI,53705,43.074135391800006,-89.4527987522,4,89,1,"Florists, Cafes, Food, Restaurants, Grocery, Flowers & Gifts, Shopping","{'Monday': '7:0-21:0', 'Tuesday': '6:0-0:0', 'Wednesday': '6:0-0:0', 'Thursday': '6:0-17:0', 'Friday': '6:0-0:0', 'Saturday': '6:0-21:0', 'Sunday': '6:0-21:0'}",1,1,1,,2,,1,0,1,0,1,1,1,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,,,,,,,,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
6950,fqeHgAtcUxp2ocf_RLErkg,Mr. Brews Taphouse-West Madison,"610 Junction Rd, Ste 107",Madison,WI,53717,43.0733000354,-89.52668633309999,4,109,1,"Burgers, Bars, Restaurants, American (New), Pubs, Nightlife","{'Monday': '0:0-0:0', 'Tuesday': '11:0-16:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}",1,1,1,,1,1,1,0,1,1,1,1,0,1,1,1,0,,,0,0,0,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,,,,,,,,0,,,,,,,1,0,0
7546,K6LwZagSz-cUrCcVemXrlA,Silver Mine Subs,328 Gorham St,Madison,WI,53703,43.074327200000006,-89.39256379999999,3,15,0,"Sandwiches, Restaurants","{'Monday': '10:0-3:0', 'Tuesday': '10:0-3:0', 'Wednesday': '10:0-3:0', 'Thursday': '10:0-3:0', 'Friday': '10:0-3:0', 'Saturday': '10:0-3:0', 'Sunday': '10:0-3:0'}",1,,1,,1,,1,0,1,0,1,1,1,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,1,0,0
7557,2vzUzl31fFLHKhM6px-rbg,Mariner's Inn,5339 Lighthouse Bay Dr,Madison,WI,53704,43.1489218,-89.4070057,3.5,79,1,"Breakfast & Brunch, Event Planning & Services, American (Traditional), Steakhouses, Venues & Event Spaces, Restaurants, Seafood","{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '16:30-22:0', 'Saturday': '16:30-22:0', 'Sunday': '16:30-21:0'}",1,1,0,,3,,1,1,1,1,0,1,1,1,1,1,,0,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
7777,SxuD7iY8QO88PNbSdNmNKg,Thulasi Kitchen,"515 Junction Rd, Ste A",Madison,WI,53717,43.0715593,-89.5245488,3.5,23,0,"Restaurants, Desserts, Indian, Seafood, Food, Halal","{'Tuesday': '16:30-22:0', 'Wednesday': '16:30-22:0', 'Thursday': '16:30-22:0', 'Friday': '16:30-22:0', 'Saturday': '16:30-22:0', 'Sunday': '16:30-21:30'}",1,0,1,,2,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
7874,JDwEvZq0KCSwgEds3LxgMA,Olive Garden Italian Restaurant,4320 E Towne Blvd,Madison,WI,53704,43.1263408,-89.30931340000001,3,62,1,"Italian, Nightlife, Bars, Restaurants, Salad, Wine Bars, Soup","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",1,1,1,,2,,1,0,1,1,0,0,0,1,1,1,,,,0,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,1,0,0
8016,fAbMPijIneJYPr3Eco48gw,FreshFin Poké,502 University Ave,Madison,WI,53703,43.0733781,-89.3940242,4.5,42,1,"Vegan, Food, Sushi Bars, Hawaiian, Poke, Gluten-Free, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",1,1,,0,2,0,1,0,1,0,1,0,1,1,0,0,0,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0
8172,Ev142kLmV_ASI9iAl-KfKA,Pizza Pit Extreme,1614 Monroe St,Madison,WI,53711,43.06713,-89.414179,3,32,1,"Sandwiches, Pizza, Restaurants, Italian, Caterers, Chicken Wings, Event Planning & Services","{'Monday': '16:0-22:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-22:0'}",1,1,1,,2,0,1,0,1,1,1,1,1,1,0,,0,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
8389,Pzs43Fkub-6A9hA1zqpF_w,Maharaja Restaurant,6713 Odana Rd,Madison,WI,53719,43.055999,-89.4977688,4,140,0,"Indian, Pakistani, Restaurants","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-22:0'}",1,1,1,,2,,1,1,1,0,1,0,1,,,1,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,1,0,0
8638,dfHA5n6e3f58nMCNHt589Q,Vientiane Palace Restaurant,151 W Gorham St,Madison,WI,53703,43.0755119,-89.39037059999998,3.5,127,1,"Thai, Vietnamese, Vegan, Asian Fusion, Restaurants, Vegetarian","{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '16:0-22:0'}",1,1,1,,1,,1,0,1,1,0,0,1,,1,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,1,0,1,0,1,0,,,,,,,,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,0,1,0
